cli_document,frequencia,monetario,ultima_compra,primeira_compra,tipo_cliente,uf,recencia,recomprou,tempo_ate_segunda_compra
CLI_0EF2F2C5,1,105.83,2024-12-19,2024-12-19,NOVO,RJ,12,0,
CLI_0EF35715,1,351.59,2024-11-29,2024-11-29,NOVO,MT,32,0,
CLI_0EF4C710,1,179.25,2023-07-05,2023-07-05,NOVO,SP,545,0,
CLI_0EF9455F,1,150.72,2023-08-24,2023-08-24,NOVO,RS,495,0,
CLI_0EF9C8C6,2,278.03,2024-03-25,2023-08-03,ANTIGO,SP,281,1,235.0
CLI_0EFAD1D4,1,332.54,2023-07-14,2023-07-14,ANTIGO,CE,536,0,
CLI_0EFC9950,1,156.89,2023-10-09,2023-10-09,ANTIGO,RJ,449,0,
CLI_0EFD4B8C,1,387.88,2024-07-29,2024-07-29,NOVO,SP,155,0,
CLI_0EFE48B3,2,445.91999999999996,2024-08-09,2024-01-02,NOVO,MT,144,1,220.0
CLI_0F02EFAC,2,284.04,2024-02-22,2023-07-12,NOVO,MG,313,1,225.0
CLI_0F063690,1,108.8,2023-12-27,2023-12-27,NOVO,SP,370,0,
CLI_0F063B33,1,87.03,2024-12-12,2024-12-12,NOVO,SP,19,0,
CLI_0F07125F,1,238.4,2023-09-15,2023-09-15,ANTIGO,SP,473,0,
CLI_0F07C650,1,163.85,2023-10-28,2023-10-28,NOVO,MG,430,0,
CLI_0F0833FD,1,549.8,2024-10-29,2024-10-29,NOVO,RJ,63,0,
CLI_0F08D079,1,329.38,2024-04-11,2024-04-11,NOVO,ES,264,0,
CLI_0F095A50,1,139.69,2024-03-15,2024-03-15,NOVO,DF,291,0,
CLI_0F0C8A07,1,140.56,2024-11-27,2024-11-27,NOVO,SP,34,0,
CLI_0F0CAC29,1,414.4,2023-07-13,2023-07-13,ANTIGO,SP,537,0,
CLI_0F0DF96B,1,97.83,2023-07-09,2023-07-09,NOVO,AM,541,0,
CLI_0F14F5DA,2,358.94,2024-09-27,2024-03-15,ANTIGO,RJ,95,1,196.0
CLI_0F16A692,1,238.9,2023-09-27,2023-09-27,NOVO,SP,461,0,
CLI_0F1AEA52,1,111.93,2024-08-13,2024-08-13,NOVO,RJ,140,0,
CLI_0F1E718A,1,297.8,2023-11-17,2023-11-17,NOVO,DF,410,0,
CLI_0F1FAF98,1,369.63,2024-04-27,2024-04-27,NOVO,SE,248,0,
CLI_0F20271F,2,370.35,2024-02-29,2023-08-21,NOVO,SC,306,1,192.0
CLI_0F204E53,3,1343.13,2024-02-15,2023-07-10,ANTIGO,MT,320,1,70.0
CLI_0F214690,1,159.71,2024-02-06,2024-02-06,NOVO,BA,329,0,
CLI_0F25F403,2,346.23,2023-11-15,2023-07-25,ANTIGO,RJ,412,1,113.0
CLI_0F269C2C,1,239.2,2024-04-25,2024-04-25,NOVO,RJ,250,0,
CLI_0F26AE01,1,126.35,2024-12-18,2024-12-18,NOVO,SP,13,0,
CLI_0F2727E1,6,1929.94,2024-09-15,2023-11-09,ANTIGO,SP,107,1,0.0
CLI_0F2A1211,2,497.18999999999994,2024-01-29,2023-12-22,NOVO,SP,337,1,38.0
CLI_0F2B7ED3,1,181.48,2024-11-28,2024-11-28,NOVO,RJ,33,0,
CLI_0F2BA6DB,1,192.0,2024-02-13,2024-02-13,ANTIGO,RJ,322,0,
CLI_0F2F5284,1,155.73,2024-07-26,2024-07-26,NOVO,MG,158,0,
CLI_0F33A51D,2,432.53999999999996,2024-07-08,2024-03-11,NOVO,PA,176,1,119.0
CLI_0F33A838,1,230.05,2024-06-20,2024-06-20,NOVO,RJ,194,0,
CLI_0F348AE7,1,191.47,2024-10-12,2024-10-12,NOVO,SE,80,0,
CLI_0F37A057,1,153.95,2024-05-28,2024-05-28,NOVO,SP,217,0,
CLI_0F3AFACA,3,609.78,2024-03-04,2023-09-15,NOVO,SP,302,1,51.0
CLI_0F3B886C,1,159.28,2024-11-16,2024-11-16,NOVO,SC,45,0,
CLI_0F3C871B,1,254.84,2023-11-08,2023-11-08,NOVO,RJ,419,0,
CLI_0F3CE95C,1,154.28,2024-10-02,2024-10-02,NOVO,SP,90,0,
CLI_0F3DBAD6,1,49.6,2024-12-02,2024-12-02,NOVO,MG,29,0,
CLI_0F3F28C3,1,218.05,2024-08-20,2024-08-20,ANTIGO,SP,133,0,
CLI_0F422033,1,99.28,2023-12-28,2023-12-28,NOVO,SP,369,0,
CLI_0F43F1CD,1,193.82,2024-03-25,2024-03-25,NOVO,SP,281,0,
CLI_0F46A352,1,979.55,2023-09-16,2023-09-16,ANTIGO,BA,472,0,
CLI_0F475518,1,154.86,2024-12-30,2024-12-30,NOVO,PR,1,0,
CLI_0F486390,1,212.94,2024-02-04,2024-02-04,NOVO,RJ,331,0,
CLI_0F48F1B6,1,119.92,2024-05-17,2024-05-17,NOVO,PR,228,0,
CLI_0F491F77,1,290.8,2023-10-07,2023-10-07,ANTIGO,RJ,451,0,
CLI_0F497153,1,266.9,2023-08-30,2023-08-30,NOVO,PR,489,0,
CLI_0F4CA9F5,1,138.2,2024-07-10,2024-07-10,NOVO,SP,174,0,
CLI_0F4DD0C0,1,239.7,2023-10-27,2023-10-27,ANTIGO,RJ,431,0,
CLI_0F4DF20C,1,139.9,2024-01-29,2024-01-29,ANTIGO,RJ,337,0,
CLI_0F53BD0B,1,143.69,2024-07-09,2024-07-09,NOVO,PR,175,0,
CLI_0F553E84,1,533.0,2024-04-19,2024-04-19,NOVO,PR,256,0,
CLI_0F59011B,1,172.95,2023-08-31,2023-08-31,NOVO,MG,488,0,
CLI_0F590C95,7,1158.8400000000001,2024-11-30,2023-11-12,ANTIGO,RJ,31,1,6.0
CLI_0F59121C,2,209.79000000000002,2024-12-29,2024-12-27,NOVO,SP,2,1,2.0
CLI_0F59630F,2,458.87,2024-11-20,2024-09-15,NOVO,SC,41,1,66.0
CLI_0F59B081,2,414.08000000000004,2024-11-28,2024-09-16,NOVO,RJ,33,1,73.0
CLI_0F5D2A33,1,69.93,2023-08-21,2023-08-21,ANTIGO,ES,498,0,
CLI_0F5DC582,1,130.0,2024-05-21,2024-05-21,NOVO,RJ,224,0,
CLI_0F5E773B,1,146.75,2024-10-07,2024-10-07,NOVO,SP,85,0,
CLI_0F61CDE6,1,73.94,2024-12-04,2024-12-04,ANTIGO,PR,27,0,
CLI_0F627141,2,323.82,2024-09-15,2024-03-20,NOVO,RJ,107,1,179.0
CLI_0F660FEC,1,767.23,2024-05-02,2024-05-02,NOVO,MS,243,0,
CLI_0F6637BC,2,237.64,2024-04-18,2023-07-02,ANTIGO,RJ,257,1,291.0
CLI_0F690E75,1,109.85,2024-01-29,2024-01-29,ANTIGO,SP,337,0,
CLI_0F6A180B,1,313.91,2024-12-16,2024-12-16,NOVO,PB,15,0,
CLI_0F6A7C48,1,96.47,2024-09-25,2024-09-25,ANTIGO,PR,97,0,
CLI_0F6A8116,1,143.25,2024-11-14,2024-11-14,ANTIGO,SP,47,0,
CLI_0F6B86B4,1,159.54,2024-05-10,2024-05-10,NOVO,MG,235,0,
CLI_0F6BCC9C,1,214.62,2023-11-08,2023-11-08,NOVO,SP,419,0,
CLI_0F6C279E,1,94.91,2024-05-09,2024-05-09,NOVO,BA,236,0,
CLI_0F6CE8E7,1,154.67,2024-06-14,2024-06-14,NOVO,SP,200,0,
CLI_0F6E4F45,1,101.73,2024-12-15,2024-12-15,NOVO,SP,16,0,
CLI_0F6E588A,1,250.54,2023-08-18,2023-08-18,ANTIGO,PR,501,0,
CLI_0F6F0FFF,1,152.91,2024-11-16,2024-11-16,NOVO,BA,45,0,
CLI_0F7003DB,1,159.84,2023-12-03,2023-12-03,ANTIGO,RJ,394,0,
CLI_0F70F29C,3,1090.24,2024-12-08,2023-11-24,ANTIGO,DF,23,1,338.0
CLI_0F71AD17,1,238.92,2024-06-09,2024-06-09,NOVO,RJ,205,0,
CLI_0F72235D,1,205.07,2024-11-28,2024-11-28,NOVO,PR,33,0,
CLI_0F74391A,1,280.44,2024-09-17,2024-09-17,NOVO,RJ,105,0,
CLI_0F74F170,1,266.69,2024-07-06,2024-07-06,NOVO,CE,178,0,
CLI_0F786F8E,1,540.96,2023-11-26,2023-11-26,NOVO,MG,401,0,
CLI_0F79088F,2,556.8299999999999,2023-11-24,2023-07-05,ANTIGO,SP,403,1,142.0
CLI_0F79C2EB,3,302.89,2024-12-20,2023-11-27,ANTIGO,RJ,11,1,58.0
CLI_0F7D924B,3,677.28,2024-12-10,2024-11-29,NOVO,RJ,21,1,0.0
CLI_0F7DBD90,1,148.91,2023-07-16,2023-07-16,NOVO,SP,534,0,
CLI_0F7EA984,2,499.40000000000003,2024-09-11,2023-09-27,NOVO,MG,111,1,350.0
CLI_0F7F7CF9,1,163.14,2024-06-20,2024-06-20,NOVO,SP,194,0,
CLI_0F8088C6,1,154.9,2024-05-28,2024-05-28,NOVO,SC,217,0,
CLI_0F81DCB8,1,128.11,2024-02-15,2024-02-15,ANTIGO,SP,320,0,
CLI_0F884726,3,742.29,2024-10-11,2024-06-20,ANTIGO,RJ,81,1,54.0
CLI_0F8AE7D3,1,64.92,2024-11-16,2024-11-16,NOVO,PR,45,0,
CLI_0F8BBB51,3,291.48,2024-06-25,2023-11-24,ANTIGO,RJ,189,1,158.0
CLI_0F8D2B97,1,90.36,2024-12-10,2024-12-10,NOVO,SP,21,0,
CLI_0F8E2A97,1,125.22,2024-09-27,2024-09-27,NOVO,SP,95,0,
CLI_0F90DDEB,1,94.61,2024-11-30,2024-11-30,NOVO,RJ,31,0,
CLI_0F926568,2,602.63,2024-08-23,2023-11-26,ANTIGO,BA,130,1,271.0
CLI_0F97122C,1,121.97,2024-10-14,2024-10-14,NOVO,SP,78,0,
CLI_0F985A5B,1,189.22,2024-11-30,2024-11-30,NOVO,SP,31,0,
CLI_0FA0298A,1,148.62,2024-01-18,2024-01-18,NOVO,RJ,348,0,
CLI_0FA07F3D,1,215.92,2023-09-14,2023-09-14,ANTIGO,RJ,474,0,
CLI_0FA0B156,10,2665.71,2024-11-17,2023-08-17,ANTIGO,SP,44,1,21.0
CLI_0FA3DC07,3,378.02,2024-05-28,2023-10-05,NOVO,MG,217,1,235.0
CLI_0FA58363,2,424.6,2023-09-06,2023-07-31,NOVO,RJ,482,1,37.0
CLI_0FA77BC4,5,1619.8000000000002,2024-10-11,2023-08-17,NOVO,RJ,81,1,44.0
CLI_0FA7F689,1,148.58,2024-01-25,2024-01-25,NOVO,SP,341,0,
CLI_0FAE82CC,1,136.89,2024-12-18,2024-12-18,NOVO,ES,13,0,
CLI_0FAF2CBE,2,245.7,2024-11-27,2024-09-28,NOVO,RJ,34,1,60.0
CLI_0FAF5098,1,136.49,2024-02-01,2024-02-01,NOVO,PI,334,0,
CLI_0FB38070,1,127.88,2023-07-13,2023-07-13,NOVO,SP,537,0,
CLI_0FB58BC1,1,130.18,2023-10-03,2023-10-03,NOVO,RS,455,0,
CLI_0FB62CD3,1,628.72,2023-07-27,2023-07-27,NOVO,RJ,523,0,
CLI_0FB66EA2,2,367.22,2024-09-27,2023-10-06,ANTIGO,RJ,95,1,357.0
CLI_0FB8C842,1,196.67,2024-06-12,2024-06-12,ANTIGO,RJ,202,0,
CLI_0FB9CDB1,1,98.62,2023-11-03,2023-11-03,ANTIGO,RJ,424,0,
CLI_0FBC9541,1,216.55,2023-11-24,2023-11-24,NOVO,BA,403,0,
CLI_0FBCC333,1,369.7,2024-05-07,2024-05-07,NOVO,SP,238,0,
CLI_0FBCDB31,1,245.08,2023-11-24,2023-11-24,NOVO,RS,403,0,
CLI_0FC1E842,1,414.8,2023-10-17,2023-10-17,NOVO,RJ,441,0,
CLI_0FC253B9,1,206.07,2023-11-23,2023-11-23,NOVO,SP,404,0,
CLI_0FC26CC0,1,212.64,2024-11-03,2024-11-03,NOVO,SP,58,0,
CLI_0FC33FA8,3,603.59,2024-12-16,2023-09-16,NOVO,MG,15,1,343.0
CLI_0FC37EAB,1,95.81,2024-03-09,2024-03-09,NOVO,SP,297,0,
CLI_0FC42BD2,1,106.24,2023-09-01,2023-09-01,ANTIGO,SP,487,0,
CLI_0FC4D00C,4,435.38,2024-11-29,2023-07-21,NOVO,SP,32,1,56.0
CLI_0FC5A03D,1,439.84,2024-05-17,2024-05-17,ANTIGO,SP,228,0,
CLI_0FC5E5E4,1,132.68,2024-12-14,2024-12-14,NOVO,DF,17,0,
CLI_0FC6F428,1,218.9,2023-12-26,2023-12-26,NOVO,MG,371,0,
CLI_0FCB33E8,1,113.7,2024-03-16,2024-03-16,ANTIGO,SP,290,0,
CLI_0FCB46B1,1,309.84,2024-09-18,2024-09-18,NOVO,SP,104,0,
CLI_0FCC6FB4,1,137.02,2024-03-15,2024-03-15,NOVO,SP,291,0,
CLI_0FCCA2E9,1,127.88,2023-10-25,2023-10-25,NOVO,SP,433,0,
CLI_0FCEBFF7,2,1860.7,2024-04-23,2024-01-17,NOVO,SP,252,1,97.0
CLI_0FCF576B,1,131.56,2024-09-17,2024-09-17,NOVO,SP,105,0,
CLI_0FD15F6E,1,63.35,2024-08-16,2024-08-16,NOVO,RJ,137,0,
CLI_0FD16537,1,85.6,2024-10-24,2024-10-24,NOVO,SP,68,0,
CLI_0FD1AA3D,1,191.39,2023-12-09,2023-12-09,NOVO,RJ,388,0,
CLI_0FD522AC,1,400.44,2024-01-11,2024-01-11,NOVO,RS,355,0,
CLI_0FD5A92F,4,384.25,2024-12-14,2023-09-14,NOVO,RJ,17,1,274.0
CLI_0FD62713,1,148.87,2024-04-17,2024-04-17,NOVO,SP,258,0,
CLI_0FD80204,2,399.6,2024-07-17,2023-09-27,NOVO,SP,167,1,294.0
CLI_0FD81414,2,233.36,2024-11-30,2024-03-15,ANTIGO,RJ,31,1,260.0
CLI_0FD93764,1,85.94,2024-11-04,2024-11-04,NOVO,MG,57,0,
CLI_0FDABE3C,2,451.79999999999995,2024-08-22,2023-08-21,ANTIGO,SP,131,1,367.0
CLI_0FDB87D7,1,522.19,2024-11-17,2024-11-17,ANTIGO,RJ,44,0,
CLI_0FDBE14A,2,255.98000000000002,2024-07-29,2024-03-15,NOVO,SP,155,1,136.0
CLI_0FDC62D2,1,98.61,2023-08-28,2023-08-28,NOVO,RJ,491,0,
CLI_0FDEDF4F,1,215.68,2024-09-15,2024-09-15,NOVO,RJ,107,0,
CLI_0FE0473A,5,1471.99,2024-11-27,2023-09-15,NOVO,SP,34,1,124.0
CLI_0FE23A11,1,474.51,2023-10-17,2023-10-17,ANTIGO,SP,441,0,
CLI_0FE6C38D,1,215.86,2024-03-15,2024-03-15,NOVO,MG,291,0,
CLI_0FE76EFE,1,75.86,2024-11-21,2024-11-21,NOVO,DF,40,0,
CLI_0FE79724,1,284.93,2024-10-21,2024-10-21,NOVO,ES,71,0,
CLI_0FE81510,1,251.81,2024-01-26,2024-01-26,NOVO,MT,340,0,
CLI_0FE89068,1,342.64,2024-04-28,2024-04-28,ANTIGO,SP,247,0,
CLI_0FEB0FA0,1,131.17,2023-10-05,2023-10-05,NOVO,PA,453,0,
CLI_0FEBBDF5,1,575.9,2023-10-15,2023-10-15,ANTIGO,SP,443,0,
CLI_0FEC45B2,1,315.32,2024-09-27,2024-09-27,ANTIGO,RJ,95,0,
CLI_0FEC643B,1,69.93,2023-08-21,2023-08-21,NOVO,SP,498,0,
CLI_0FF1AA3C,1,217.33,2024-11-13,2024-11-13,NOVO,RN,48,0,
CLI_0FF1CA8D,1,299.7,2023-07-21,2023-07-21,ANTIGO,RJ,529,0,
CLI_0FF285D0,1,107.46,2024-12-30,2024-12-30,NOVO,SC,1,0,
CLI_0FF2BF4F,1,480.03,2024-06-20,2024-06-20,NOVO,RJ,194,0,
CLI_0FF5CB7E,1,215.82,2023-08-08,2023-08-08,ANTIGO,RJ,511,0,
CLI_0FF7A528,1,155.86,2024-04-30,2024-04-30,NOVO,RJ,245,0,
CLI_0FF80B60,1,213.91,2024-08-23,2024-08-23,NOVO,SP,130,0,
CLI_0FF8EAAF,1,269.17,2023-10-15,2023-10-15,NOVO,MT,443,0,
CLI_0FF8FCE0,1,200.16,2024-03-15,2024-03-15,ANTIGO,SP,291,0,
CLI_0FF9E77F,2,309.70000000000005,2023-08-21,2023-08-19,ANTIGO,MS,498,1,2.0
CLI_0FFA22F8,1,119.18,2023-07-26,2023-07-26,NOVO,DF,524,0,
CLI_0FFB24BE,1,174.21,2024-09-15,2024-09-15,NOVO,DF,107,0,
CLI_0FFB695B,1,109.12,2023-11-26,2023-11-26,ANTIGO,SP,401,0,
CLI_0FFC5B10,1,135.71,2023-07-08,2023-07-08,NOVO,RS,542,0,
CLI_0FFF17F5,2,250.75,2024-03-25,2024-02-06,NOVO,MS,281,1,48.0
CLI_0FFF1EE4,1,126.85,2023-10-08,2023-10-08,NOVO,SP,450,0,
CLI_10020E9D,1,295.65,2023-10-04,2023-10-04,NOVO,CE,454,0,
CLI_1003F375,1,257.85,2023-09-01,2023-09-01,ANTIGO,MG,487,0,
CLI_100869AE,1,148.87,2023-10-05,2023-10-05,ANTIGO,SP,453,0,
CLI_100869E5,1,386.17,2024-09-07,2024-09-07,ANTIGO,RN,115,0,
CLI_10096DA3,1,233.4,2023-12-22,2023-12-22,NOVO,PR,375,0,
CLI_100A8E57,1,150.14,2024-08-24,2024-08-24,ANTIGO,SP,129,0,
CLI_100B22B1,6,1572.17,2024-11-15,2024-06-15,ANTIGO,RJ,46,1,52.0
CLI_100C125D,1,97.3,2024-11-14,2024-11-14,ANTIGO,AM,47,0,
CLI_100D341B,2,271.22,2024-11-30,2024-09-26,ANTIGO,RJ,31,1,65.0
CLI_10109DFD,1,69.93,2023-08-21,2023-08-21,NOVO,SP,498,0,
CLI_10111316,1,142.29,2024-07-02,2024-07-02,NOVO,DF,182,0,
CLI_10115EF6,1,298.94,2023-11-25,2023-11-25,NOVO,SP,402,0,
CLI_10122578,1,196.69,2024-02-26,2024-02-26,NOVO,AM,309,0,
CLI_101313D5,1,426.73,2024-01-23,2024-01-23,ANTIGO,RS,343,0,
CLI_10141306,1,185.29,2023-10-21,2023-10-21,NOVO,MG,437,0,
CLI_1015B042,3,776.05,2024-08-23,2024-01-03,ANTIGO,RS,130,1,105.0
CLI_1016106B,1,138.29,2024-09-15,2024-09-15,NOVO,SP,107,0,
CLI_1017CC0D,2,515.37,2024-09-03,2024-07-08,NOVO,SP,119,1,57.0
CLI_1017D943,1,136.12,2023-09-28,2023-09-28,NOVO,RJ,460,0,
CLI_1019D65A,1,223.94,2024-02-25,2024-02-25,NOVO,SP,310,0,
CLI_101AA296,1,449.67,2024-05-29,2024-05-29,ANTIGO,SP,216,0,
CLI_101B1D64,1,211.51,2023-11-21,2023-11-21,NOVO,PE,406,0,
CLI_101B26B9,2,486.27,2024-04-19,2024-04-18,ANTIGO,SP,256,1,1.0
CLI_101B5E50,2,247.09,2024-06-07,2023-09-04,ANTIGO,SP,207,1,277.0
CLI_101C38E0,1,101.34,2024-12-26,2024-12-26,NOVO,SP,5,0,
CLI_101C9C59,1,157.17,2023-08-13,2023-08-13,NOVO,RN,506,0,
CLI_1020BA33,1,181.8,2024-05-27,2024-05-27,NOVO,BA,218,0,
CLI_1021BB21,1,221.11,2023-11-24,2023-11-24,ANTIGO,RS,403,0,
CLI_10221518,1,115.99,2024-11-30,2024-11-30,NOVO,SP,31,0,
CLI_10243EAF,7,1713.9,2024-05-22,2023-08-12,ANTIGO,SP,223,1,69.0
CLI_102599AD,1,143.86,2024-03-15,2024-03-15,ANTIGO,PR,291,0,
CLI_10296193,1,159.9,2024-04-15,2024-04-15,NOVO,ES,260,0,
CLI_102BCD79,4,1333.5900000000001,2024-10-12,2023-10-10,ANTIGO,RJ,80,1,183.0
CLI_102DB2FD,1,122.09,2024-11-29,2024-11-29,NOVO,MT,32,0,
CLI_102DF65C,1,29.58,2024-03-07,2024-03-07,NOVO,ES,299,0,
CLI_102F8710,2,382.43999999999994,2024-11-06,2024-03-15,NOVO,PR,55,1,236.0
CLI_103374CE,2,329.05999999999995,2023-11-21,2023-09-16,NOVO,SP,406,1,66.0
CLI_10381A73,1,137.07,2023-07-18,2023-07-18,NOVO,SP,532,0,
CLI_103C4592,1,337.07,2023-11-05,2023-11-05,NOVO,MG,422,0,
CLI_103C95B6,1,178.54,2023-10-16,2023-10-16,NOVO,SP,442,0,
CLI_103D074D,2,518.0,2024-01-02,2023-11-29,NOVO,RJ,364,1,34.0
CLI_103DCC96,1,144.91,2024-08-19,2024-08-19,NOVO,SP,134,0,
CLI_103FFB74,3,377.9,2024-11-03,2023-10-05,ANTIGO,RS,58,1,164.0
CLI_10439F9B,4,1198.53,2024-05-23,2023-09-29,NOVO,RJ,222,1,168.0
CLI_10443513,1,74.12,2024-12-26,2024-12-26,NOVO,MG,5,0,
CLI_10455765,3,518.98,2024-11-16,2024-01-20,NOVO,ES,45,1,136.0
CLI_10478165,1,69.93,2023-08-21,2023-08-21,NOVO,RS,498,0,
CLI_10480470,1,128.55,2023-08-08,2023-08-08,NOVO,SP,511,0,
CLI_1048C1F2,1,146.29,2024-06-21,2024-06-21,NOVO,SP,193,0,
CLI_104A248B,1,185.0,2023-10-22,2023-10-22,NOVO,SP,436,0,
CLI_104A643F,2,916.57,2024-11-19,2023-11-26,NOVO,SC,42,1,359.0
CLI_104C10F1,1,220.64,2024-11-28,2024-11-28,NOVO,RJ,33,0,
CLI_105199E9,1,154.63,2024-04-14,2024-04-14,NOVO,RJ,261,0,
CLI_1052CDD7,3,359.15,2024-10-18,2023-08-18,ANTIGO,DF,74,1,79.0
CLI_1053D64B,1,280.33,2024-04-12,2024-04-12,NOVO,PB,263,0,
CLI_1054136B,1,267.27,2024-05-19,2024-05-19,NOVO,MG,226,0,
CLI_1056FF26,1,137.07,2023-08-20,2023-08-20,NOVO,RJ,499,0,
CLI_105A9F22,1,136.29,2023-12-12,2023-12-12,NOVO,PR,385,0,
CLI_105AE01D,1,130.66,2024-06-12,2024-06-12,NOVO,SP,202,0,
CLI_105C345C,3,488.69,2024-08-15,2024-01-01,NOVO,RJ,138,1,114.0
CLI_105F7098,1,126.34,2024-07-02,2024-07-02,NOVO,RJ,182,0,
CLI_105FF1C6,1,146.77,2024-05-21,2024-05-21,NOVO,PI,224,0,
CLI_1062A279,2,197.93,2023-11-02,2023-09-15,NOVO,MG,425,1,48.0
CLI_1064CB1D,1,196.84,2023-09-21,2023-09-21,NOVO,RJ,467,0,
CLI_1065D8A1,2,482.72,2024-06-27,2023-09-24,NOVO,SP,187,1,277.0
CLI_1065E3F0,8,2527.0,2024-12-01,2023-11-24,ANTIGO,RJ,30,1,18.0
CLI_1066411C,1,363.53,2024-01-24,2024-01-24,NOVO,BA,342,0,
CLI_10690575,1,78.9,2023-07-24,2023-07-24,NOVO,SP,526,0,
CLI_106A0DF3,1,173.16,2024-11-30,2024-11-30,NOVO,SP,31,0,
CLI_106BCA60,4,376.59000000000003,2024-03-31,2023-08-21,NOVO,SP,275,1,91.0
CLI_106BF39A,1,81.92,2024-06-12,2024-06-12,NOVO,GO,202,0,
CLI_106D416D,1,139.86,2023-08-21,2023-08-21,NOVO,AM,498,0,
CLI_106E0A7B,2,192.09,2024-10-07,2023-11-02,NOVO,SC,85,1,340.0
CLI_107002D0,1,247.69,2024-07-15,2024-07-15,NOVO,SP,169,0,
CLI_107129F9,1,248.8,2023-08-29,2023-08-29,ANTIGO,RJ,490,0,
CLI_10728856,5,1072.62,2024-11-14,2023-11-04,ANTIGO,ES,47,1,343.0
CLI_10735ACB,1,466.52,2023-09-15,2023-09-15,ANTIGO,RS,473,0,
CLI_1073AE8B,1,98.92,2023-08-14,2023-08-14,NOVO,SP,505,0,
CLI_10744148,1,167.6,2024-01-04,2024-01-04,NOVO,RJ,362,0,
CLI_10797A00,1,257.41,2023-08-01,2023-08-01,ANTIGO,SP,518,0,
CLI_107B81D4,1,89.91,2024-04-10,2024-04-10,NOVO,SP,265,0,
CLI_107BEC04,1,244.42,2024-06-06,2024-06-06,NOVO,PR,208,0,
CLI_107CD9BB,1,130.98,2024-10-11,2024-10-11,NOVO,PB,81,0,
CLI_107DACCC,3,688.41,2024-10-11,2023-08-20,ANTIGO,SP,81,1,147.0
CLI_107DBCF3,2,511.54,2024-11-21,2024-09-11,ANTIGO,RJ,40,1,71.0
CLI_107F3C01,5,1092.76,2024-12-29,2023-10-11,ANTIGO,SP,2,1,46.0
CLI_10804EA1,1,589.68,2023-11-11,2023-11-11,ANTIGO,SP,416,0,
CLI_10806E9C,3,713.19,2024-10-18,2023-11-03,ANTIGO,DF,74,1,294.0
CLI_1083317B,1,109.99,2024-07-23,2024-07-23,NOVO,MG,161,0,
CLI_10859D17,2,426.79999999999995,2024-02-16,2024-01-31,NOVO,MG,319,1,16.0
CLI_10860862,1,121.98,2024-11-01,2024-11-01,NOVO,MG,60,0,
CLI_10879672,1,133.86,2024-11-13,2024-11-13,NOVO,PR,48,0,
CLI_108F9D54,1,167.94,2023-11-27,2023-11-27,NOVO,MG,400,0,
CLI_10923267,4,1545.52,2024-11-28,2023-11-24,ANTIGO,DF,33,1,2.0
CLI_1092BA14,1,150.92,2024-06-20,2024-06-20,NOVO,RN,194,0,
CLI_109342BF,1,156.23,2024-03-15,2024-03-15,NOVO,SP,291,0,
CLI_1093535A,2,397.92,2024-11-21,2024-02-09,ANTIGO,RJ,40,1,286.0
CLI_1093901C,4,1414.72,2024-07-06,2023-09-23,ANTIGO,RJ,178,1,71.0
CLI_109444BB,1,314.8,2024-08-24,2024-08-24,ANTIGO,MG,129,0,
CLI_1094EE4A,2,144.98000000000002,2024-11-23,2024-03-15,NOVO,SP,38,1,253.0
CLI_10977E8F,1,55.39,2024-10-26,2024-10-26,NOVO,SC,66,0,
CLI_1098AD9B,3,1122.0,2024-10-03,2023-09-21,ANTIGO,SP,89,1,294.0
CLI_109B9BE6,1,131.18,2023-10-05,2023-10-05,NOVO,SP,453,0,
CLI_109BE751,2,834.1800000000001,2024-11-29,2023-11-21,ANTIGO,ES,32,1,374.0
CLI_109C068A,1,171.23,2024-11-19,2024-11-19,NOVO,SP,42,0,
CLI_109DA593,1,222.34,2023-11-27,2023-11-27,NOVO,DF,400,0,
CLI_109DECB2,2,254.77,2024-06-21,2023-12-13,NOVO,RJ,193,1,191.0
CLI_109EAD92,5,1233.76,2024-11-07,2023-07-13,ANTIGO,RJ,54,1,43.0
CLI_10A044FF,1,348.64,2024-10-23,2024-10-23,NOVO,DF,69,0,
CLI_10A0A157,2,367.05,2024-05-18,2024-01-10,NOVO,SP,227,1,129.0
CLI_10A3FAAE,2,417.92999999999995,2024-06-06,2023-09-06,ANTIGO,GO,208,1,274.0
CLI_10A49058,1,329.69,2024-11-21,2024-11-21,ANTIGO,DF,40,0,
CLI_10A6C928,2,661.24,2024-07-09,2023-12-15,ANTIGO,PR,175,1,207.0
CLI_10A7A770,2,285.76,2024-11-10,2024-07-13,NOVO,PR,51,1,120.0
CLI_10A87412,3,1673.19,2024-10-31,2023-12-01,NOVO,MG,61,1,242.0
CLI_10A8D567,2,699.27,2023-10-16,2023-10-16,NOVO,AL,442,1,0.0
CLI_10A9740E,2,579.12,2024-06-26,2023-11-24,NOVO,RJ,188,1,215.0
CLI_10AB0EB9,1,133.23,2023-11-05,2023-11-05,NOVO,MG,422,0,
CLI_10ABD05E,2,297.11,2024-10-15,2023-12-01,NOVO,RS,77,1,319.0
CLI_10AC158F,1,122.62,2023-11-24,2023-11-24,NOVO,MG,403,0,
CLI_10ADC525,1,129.6,2024-04-01,2024-04-01,NOVO,ES,274,0,
CLI_10AE0AD3,1,322.8,2024-11-12,2024-11-12,NOVO,SP,49,0,
CLI_10AE2F8A,1,159.21,2024-07-25,2024-07-25,NOVO,SP,159,0,
